id,name,size,old,new
141,TOASTED CORN,14 OZ,,Dry Goods
342,TOASTED CORN,3.5 OZ,,Dry Goods
92,TOOR DAL,2 LB,,Dry Goods
93,TOOR DAL,4 LB,,Dry Goods
223,TOOR DAL,8 LB,,Dry Goods
94,TOOR DAL OILY,4 LB,,Dry Goods
95,TOOR DAL OILY,2 LB,,Dry Goods
96,TOOR DAL OILY,8 LB,,Dry Goods
56,URAD DAL,8 LB,,Dry Goods
57,URAD DAL,4 LB,,Dry Goods
58,URAD DAL,2 LB,,Dry Goods
330,URAD GOTA,4 LB,,Dry Goods
150,URAD WHITE SPLIT PEALED,2 LB,,Dry Goods
151,URAD WHITE SPLIT PEALED,4 LB,,Dry Goods
53,URAD WHOLE,2 LB,,Dry Goods
54,URAD WHOLE,4 LB,,Dry Goods
55,URAD WHOLE,8 LB,,Dry Goods
63,URD CHILKA,2 LB,,Dry Goods
64,URD CHILKA,4 LB,,Dry Goods
423,VERMICELLI KHEER,,,Sweets
167,WALNUT,14 OZ (400 GM),,Dry Goods
246,WALNUT,2 LB,,Dry Goods
5,WALNUTS,1 LB,,Dry Goods
418,WALNUTS,1.5 LB,,Dry Goods
428,WHOLE BLACK PEPPER,3 LB,,Spices
429,WHOLE WALNUT,2 LB,,Dry Goods
137,WHOLE WHEAT ATTA,4 LB,,Dry Goods
202,WHOLE WHEAT ATTA,8 LB,,Dry Goods
112,YELLOW PEAS,2 LB,,Dry Goods
113,YELLOW PEAS,4 LB,,Dry Goods
22,YOGI WHEAT LADDO FLOUR,2 LB,,Dry Goods
