action,id,name,field,old,new,reason
update,100,CLOVES,size,2LB,2 LB,1 size spelling
update,101,RAW PEANUTS,size,1LB,1 LB,1 size spelling
update,102,RAW PEANUTS,size,2LB,2 LB,1 size spelling
update,107,GREEN CHANNA,size,2LBS,2 LB,1 size spelling
update,112,YELLOW PEAS,size,2LBS,2 LB,1 size spelling
update,113,YELLOW PEAS,size,4LB,4 LB,1 size spelling
update,121,BHINDI ALOO,ingredients,"Okra, Potato, Tomato, Carrom seed, tumeric,onions,spieces,salt &oil","Okra, Potato, Tomato, Carrom seed, tumeric, onions, spieces, salt & oil",2 ingredient spacing/punctuation
update,124,AAOJEE BLEND TEA,size,800G,800 GM,1 size spelling
update,134,MANGO MOOSE,name,MANGO MOOSE,MANGO MOUSSE,3 name spelling
update,135,MANGO MOOSE,name,MANGO MOOSE,MANGO MOUSSE,3 name spelling
update,137,WHOLE WHEAT ATTA,size,4LB,4 LB,1 size spelling
update,138,GOBHI MUTTAR,notes,,CHECK (data cleanup 2026-09-17): ingredients and subtitle still need to be typed in — no source document (GOBI MATTAR.docx actually contains the GOBHI ALOO label).,5 flagged: needs ingredients
update,139,ALOO MATTAR,ingredients,"Potato, Peas, Ginger, Garlic, Fenugreek, Tomatoes,Cilantro Salt,Onions, Oil & Spices","Potato, Peas, Ginger, Garlic, Fenugreek, Tomatoes, Cilantro Salt, Onions, Oil & Spices",2 ingredient spacing/punctuation
update,141,TOASTED CORN,size,14 oz,14 OZ,1 size spelling
update,144,GUJRATI DAL,ingredients,"Pigeon Peas Lentils, Tamarind, Jaggery, Mustard seeds,Tomatoes, Salt, Ginger, Lemon Juice, Green Chilli, Curry Leaves, Asafoetida, Oil & Spices","Pigeon Peas Lentils, Tamarind, Jaggery, Mustard seeds, Tomatoes, Salt, Ginger, Lemon Juice, Green Chilli, Curry Leaves, Asafoetida, Oil & Spices",2 ingredient spacing/punctuation
update,146,BAY LEAF,size,25gms,25 GM,1 size spelling
update,148,RED SPLIT LENTILS,size,4LB,4 LB,1 size spelling
update,149,RED SPLIT LENTILS,size,2LB,2 LB,1 size spelling
update,150,URAD WHITE SPLIT PEALED,size,2LB,2 LB,1 size spelling
